month,stock,marketcap,rank,excess_returns
1999-12-31T00:00:00Z,AIG,167,10,NA
1999-12-31T00:00:00Z,TWX,169,9,NA
1999-12-31T00:00:00Z,C,187,8,NA
1999-12-31T00:00:00Z,IBM,194,7,NA
1999-12-31T00:00:00Z,INTC,275,6,NA
1999-12-31T00:00:00Z,XOM,278,5,NA
1999-12-31T00:00:00Z,WMT,307,4,NA
1999-12-31T00:00:00Z,CSCO,366,3,NA
1999-12-31T00:00:00Z,GE,507,2,NA
1999-12-31T00:00:00Z,MSFT,602,1,NA
2000-01-31T00:00:00Z,AIG,161,10,-0.038782744
2000-01-31T00:00:00Z,MRK,184,9,0.168921966
2000-01-31T00:00:00Z,C,192,8,0.019470838
2000-01-31T00:00:00Z,IBM,202,7,0.036452872
2000-01-31T00:00:00Z,WMT,243,6,-0.212057006
2000-01-31T00:00:00Z,XOM,288,5,0.031586954
2000-01-31T00:00:00Z,INTC,330,4,0.197874155
2000-01-31T00:00:00Z,CSCO,374,3,0.018070355
2000-01-31T00:00:00Z,GE,439,2,-0.138316843
2000-01-31T00:00:00Z,MSFT,505,1,-0.165770208
2000-02-29T00:00:00Z,MRK,143,10,-0.223173523
2000-02-29T00:00:00Z,C,174,9,-0.092727839
2000-02-29T00:00:00Z,IBM,185,8,-0.088005669
2000-02-29T00:00:00Z,ORCL,209,7,0.482093325
2000-02-29T00:00:00Z,WMT,217,6,-0.11160577
2000-02-29T00:00:00Z,XOM,260,5,-0.096456636
2000-02-29T00:00:00Z,INTC,377,4,0.1381644
2000-02-29T00:00:00Z,GE,433,3,-0.016278264
2000-02-29T00:00:00Z,CSCO,452,2,0.20289236
2000-02-29T00:00:00Z,MSFT,465,1,-0.091145439
2000-03-31T00:00:00Z,AIG,169,10,0.23415326
2000-03-31T00:00:00Z,C,200,9,0.150909395
2000-03-31T00:00:00Z,IBM,211,8,0.143714617
2000-03-31T00:00:00Z,ORCL,220,7,0.046646929
2000-03-31T00:00:00Z,WMT,251,6,0.152660521
2000-03-31T00:00:00Z,XOM,271,5,0.030154889
2000-03-31T00:00:00Z,INTC,440,4,0.162888041
2000-03-31T00:00:00Z,GE,512,3,0.174444093
2000-03-31T00:00:00Z,CSCO,529,2,0.165040345
2000-03-31T00:00:00Z,MSFT,553,1,0.184111108
2000-04-28T00:00:00Z,AIG,168,10,-0.002887636
2000-04-28T00:00:00Z,C,199,9,-0.007228846
2000-04-28T00:00:00Z,IBM,200,8,-0.059683376
2000-04-28T00:00:00Z,ORCL,226,7,0.019419134
2000-04-28T00:00:00Z,WMT,246,6,-0.024511836
2000-04-28T00:00:00Z,XOM,270,5,-0.00780836
2000-04-28T00:00:00Z,MSFT,363,4,-0.348129404
2000-04-28T00:00:00Z,INTC,423,3,-0.043443921
