month,stock,marketcap,rank,excess_returns
2019-11-29T00:00:00Z,BAX,41,72,0.06750842
2019-12-31T00:00:00Z,BAX,42,72,0.021450859
2019-08-30T00:00:00Z,OXY,38,73,-0.155026306
2019-09-30T00:00:00Z,EMR,41,73,0.120200562
2019-10-31T00:00:00Z,BAX,39,73,-0.124627664
2019-11-29T00:00:00Z,PRU,37,73,0.036978531
2019-12-31T00:00:00Z,PRU,37,73,-1.24E-04
2019-01-31T00:00:00Z,COF,37,74,0.064047145
2019-02-28T00:00:00Z,TGT,37,74,0.001956715
2019-03-29T00:00:00Z,PRU,37,74,-0.043332455
2019-04-30T00:00:00Z,F,40,74,0.206900008
2019-05-31T00:00:00Z,EMR,37,74,-0.147197582
2019-06-28T00:00:00Z,EMR,41,74,0.105770548
2019-07-31T00:00:00Z,EMR,39,74,-0.029478571
2019-08-30T00:00:00Z,EMR,36,74,-0.075157212
2019-09-30T00:00:00Z,OXY,39,74,0.038935489
2019-10-31T00:00:00Z,PRU,36,74,0.011728246
2019-11-29T00:00:00Z,F,35,74,0.053514517
2019-12-31T00:00:00Z,F,36,74,0.025089543
2018-10-31T00:00:00Z,F,37,75,0.04894583
2018-11-30T00:00:00Z,TGT,37,75,-0.145434081
2018-12-31T00:00:00Z,AIG,34,75,-0.08274346
2019-01-31T00:00:00Z,BAX,37,75,0.099237903
2019-02-28T00:00:00Z,AIG,37,75,-0.002473496
2019-03-29T00:00:00Z,AIG,37,75,0.0021437
2019-04-30T00:00:00Z,TGT,39,75,-0.037485058
2019-05-31T00:00:00Z,F,37,75,-0.09109605
2019-06-28T00:00:00Z,F,40,75,0.072779805
2019-07-31T00:00:00Z,OXY,38,75,0.019579104
2019-08-30T00:00:00Z,F,35,75,-0.039374633
2019-09-30T00:00:00Z,PRU,36,75,0.121312993
2019-10-31T00:00:00Z,OXY,36,75,-0.090773317
2019-11-29T00:00:00Z,OXY,34,75,-0.048854177
2019-12-31T00:00:00Z,OXY,36,75,0.089651499
1999-12-31T00:00:00Z,BIIB,4,76,NA
2000-01-31T00:00:00Z,SBUX,5,76,0.315483744
2000-02-29T00:00:00Z,A,4,76,-0.0043
2000-03-31T00:00:00Z,A,5,76,0.360311697
2018-06-29T00:00:00Z,TGT,40,76,0.042913404
2018-07-31T00:00:00Z,EXC,41,76,-0.003947519
2018-08-31T00:00:00Z,PRU,40,76,-0.019040698
2018-09-28T00:00:00Z,EXC,42,76,-0.00264404
2018-10-31T00:00:00Z,AIG,36,76,-0.2263578
2018-11-30T00:00:00Z,BAX,36,76,0.09786397
2018-12-31T00:00:00Z,PRU,33,76,-0.132137371
2019-01-31T00:00:00Z,F,34,76,0.168038839
2019-02-28T00:00:00Z,F,34,76,-0.00521211
2019-03-29T00:00:00Z,F,34,76,-7.59E-04
2019-04-30T00:00:00Z,BAX,38,76,-0.063715336
2019-05-31T00:00:00Z,OXY,37,76,-0.156822038
2019-06-28T00:00:00Z,OXY,37,76,0.024919536
2019-07-31T00:00:00Z,APC,37,76,0.042034191
2019-08-30T00:00:00Z,EBAY,33,76,-0.020050961
2019-09-30T00:00:00Z,F,35,76,-0.002892694
2019-10-31T00:00:00Z,F,33,76,-0.048147363
2019-11-29T00:00:00Z,EBAY,28,76,0.010431424
2019-12-31T00:00:00Z,EBAY,29,76,0.015209229
1999-12-31T00:00:00Z,A,4,77,NA
2000-01-31T00:00:00Z,A,4,77,-0.015943771
2000-02-29T00:00:00Z,NKE,4,77,-0.379299092
2000-03-31T00:00:00Z,BIIB,4,77,-0.307272204
2000-04-28T00:00:00Z,APC,5,77,0.11816945
2000-05-31T00:00:00Z,SBUX,6,77,0.119551111
2000-06-30T00:00:00Z,TJX,5,77,-0.136947781
2000-07-31T00:00:00Z,UPS,6,77,-0.009028088
2000-08-31T00:00:00Z,SBUX,6,77,-0.028334647
2000-09-29T00:00:00Z,TJX,6,77,0.190911705
2018-06-29T00:00:00Z,PRU,39,77,-0.035788612
2018-07-31T00:00:00Z,F,39,77,-0.081761265
2018-08-31T00:00:00Z,BAX,39,77,0.027538907
2018-09-28T00:00:00Z,BAX,41,77,0.035074839
2018-10-31T00:00:00Z,BAX,33,77,-0.191028796
2018-11-30T00:00:00Z,F,36,77,-0.016458849
2018-12-31T00:00:00Z,F,29,77,-0.188935821
